Regione,Ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Totale attualmente positivi,DIMESSI GUARITI,DECEDUTI,CASI TOTALI,TAMPONI,datetime,aggiornamento,fonte
Liguria,,,,,,,19,,2020-02-27,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Bolzano,,,,,,,1,,2020-02-27,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Marche,,,,,,,3,,2020-02-27,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Campania,,,,,,,3,,2020-02-27,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Abruzzo,,,,,,,1,,2020-02-27,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Puglia,,,,,,,1,,2020-02-27,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218891?refererPlid=42041&controlPanelCategory=current_site.content
Sconosciuta,,56,,588,45,17,,12014,2020-02-27,pomeridiano,http://www.protezionecivile.gov.it/media-comunicazione/comunicati-stampa
Lombardia,,,,,,,305,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Veneto,,,,,,,98,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Emilia Romagna,,,,,,,97,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Piemonte,,,,,,,2,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Lazio,,,,,,,3,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Toscana,,,,,,,2,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Sicilia,,,,,,,3,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Liguria,,,,,,,11,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Bolzano,,,,,,,1,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Marche,,,,,,,3,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Campania,,,,,,,2,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Abruzzo,,,,,,,1,,2020-02-27,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218473?refererPlid=42041&controlPanelCategory=current_site.content
Lombardia,,,,,,,258,,2020-02-26,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Veneto,,,,,,,71,,2020-02-26,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Emilia Romagna,,,,,,,47,,2020-02-26,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Piemonte,,,,,,,3,,2020-02-26,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Lazio,,,,,,,3,,2020-02-26,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Toscana,,,,,,,2,,2020-02-26,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Sicilia,,,,,,,3,,2020-02-26,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Liguria,,,,,,,11,,2020-02-26,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Bolzano,,,,,,,1,,2020-02-26,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Marche,,,,,,,1,,2020-02-26,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Sconosciuta,,36,,385,3,12,,9587,2020-02-26,pomeridiano,http://www.protezionecivile.gov.it/media-comunicazione/comunicati-stampa
Lombardia,,,,,,,258,,2020-02-26,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Veneto,,,,,,,71,,2020-02-26,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Emilia Romagna,,,,,,,30,,2020-02-26,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Piemonte,,,,,,,3,,2020-02-26,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Lazio,,,,,,,3,,2020-02-26,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Toscana,,,,,,,2,,2020-02-26,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Sicilia,,,,,,,3,,2020-02-26,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Liguria,,,,,,,2,,2020-02-26,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Bolzano,,,,,,,1,,2020-02-26,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Marche,,,,,,,1,,2020-02-26,diurno,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Lombardia,,,,,,,240,,2020-02-25,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Veneto,,,,,,,43,,2020-02-25,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Emilia Romagna,,,,,,,26,,2020-02-25,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Piemonte,,,,,,,3,,2020-02-25,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Lazio,,,,,,,3,,2020-02-25,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Toscana,,,,,,,2,,2020-02-25,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Sicilia,,,,,,,2,,2020-02-25,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Liguria,,,,,,,1,,2020-02-25,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Bolzano,,,,,,,1,,2020-02-25,pomeridiano,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Sconosciuta,,35,,311,1,10,,6224,2020-02-25,pomeridiano,http://www.protezionecivile.gov.it/media-comunicazione/comunicati-stampa
Lombardia,,,,,,,212,,2020-02-25,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20182
Veneto,,,,,,,38,,2020-02-25,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20183
Emilia Romagna,,,,,,,23,,2020-02-25,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20184
Piemonte,,,,,,,3,,2020-02-25,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20185
Lazio,,,,,,,3,,2020-02-25,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20186
Toscana,,,,,,,2,,2020-02-25,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20187
Sicilia,,,,,,,1,,2020-02-25,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20188
Bolzano,,,,,,,1,,2020-02-25,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20189
Lombardia,,,,,,,167,,2020-02-24,pomeridiano,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20190
Veneto,,,,,,,32,,2020-02-24,pomeridiano,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20191
Emilia Romagna,,,,,,,18,,2020-02-24,pomeridiano,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20192
Piemonte,,,,,,,3,,2020-02-24,pomeridiano,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20193
Lazio,,,,,,,3,,2020-02-24,pomeridiano,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20194
Sconosciuta,,27,,222,1,6,,,2020-02-24,pomeridiano,http://www.protezionecivile.gov.it/media-comunicazione/comunicati-stampa
Lombardia,,,,,,,167,,2020-02-24,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20195
Veneto,,,,,,,27,,2020-02-24,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20196
Emilia Romagna,,,,,,,18,,2020-02-24,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20197
Piemonte,,,,,,,4,,2020-02-24,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20198
Lazio,,,,,,,3,,2020-02-24,diurno,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20199
Lombardia,,,,,,,114,,2020-02-23,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Veneto,,,,,,,25,,2020-02-23,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Emilia Romagna,,,,,,,9,,2020-02-23,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Piemonte,,,,,,,3,,2020-02-23,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Lazio,,,,,,,3,,2020-02-23,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Bolzano,,,,,,,3,,2020-02-23,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Sconosciuta,,26,,153,1,3,,,2020-02-23,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Lombardia,,,,,,,54,,2020-02-22,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Veneto,,,,,,,18,,2020-02-22,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Emilia Romagna,,,,,,,3,,2020-02-22,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Piemonte,,,,,,,1,,2020-02-22,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Lazio,,,,,,,3,,2020-02-22,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Sconosciuta,,18,,76,1,2,,,2020-02-22,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Lombardia,,,,,,,16,,2020-02-21,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Veneto,,,,,,,2,,2020-02-21,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Lazio,,,,,,,3,,2020-02-21,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Sconosciuta,,6,,19,1,1,,,2020-02-21,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Lombardia,,1,,1,,,1,,2020-02-20,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Lazio,,,,3,,,3,,2020-02-20,pomeridiano,https://www.worldometers.info/coronavirus/#countries
Lazio,,,,3,,,3,,2020-02-19,pomeridiano,https://www.worldometers.info/coronavirus/#countries
