Regione,Ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Totale attualmente positivi,DIMESSI GUARITI,DECEDUTI,CASI TOTALI,TAMPONI,datetime,fonte
Toscana,,,,,,,2,,2020-02-26 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Sicilia,,,,,,,3,,2020-02-26 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Liguria,,,,,,,11,,2020-02-26 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Bolzano,,,,,,,1,,2020-02-26 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Marche,,,,,,,1,,2020-02-26 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1218121?refererPlid=42041&controlPanelCategory=current_site.content
Lombardia,,,,,,,258,,2020-02-26 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Veneto,,,,,,,71,,2020-02-26 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Emilia-Romagna,,,,,,,30,,2020-02-26 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Piemonte,,,,,,,3,,2020-02-26 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Lazio,,,,,,,3,,2020-02-26 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Toscana,,,,,,,2,,2020-02-26 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Sicilia,,,,,,,3,,2020-02-26 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Liguria,,,,,,,2,,2020-02-26 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Bolzano,,,,,,,1,,2020-02-26 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Marche,,,,,,,1,,2020-02-26 12:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217683?refererPlid=42041&controlPanelCategory=current_site.content
Lombardia,,,,,,,240,,2020-02-25 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Veneto,,,,,,,43,,2020-02-25 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Emilia-Romagna,,,,,,,26,,2020-02-25 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Piemonte,,,,,,,3,,2020-02-25 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Lazio,,,,,,,3,,2020-02-25 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Toscana,,,,,,,2,,2020-02-25 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Sicilia,,,,,,,2,,2020-02-25 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Liguria,,,,,,,1,,2020-02-25 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Bolzano,,,,,,,1,,2020-02-25 18:00:00,http://www.protezionecivile.gov.it/dettaglio/-/journal_content/56/20182/1217087?refererPlid=42041&controlPanelCategory=current_site.content
Lombardia,,,,,,,212,,2020-02-25 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20182
Veneto,,,,,,,38,,2020-02-25 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20183
Emilia-Romagna,,,,,,,23,,2020-02-25 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20184
Piemonte,,,,,,,3,,2020-02-25 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20185
Lazio,,,,,,,3,,2020-02-25 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20186
Toscana,,,,,,,2,,2020-02-25 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20187
Sicilia,,,,,,,1,,2020-02-25 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20188
Bolzano,,,,,,,1,,2020-02-25 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20189
Lombardia,,,,,,,167,,2020-02-24 18:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20190
Veneto,,,,,,,32,,2020-02-24 18:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20191
Emilia-Romagna,,,,,,,18,,2020-02-24 18:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20192
Piemonte,,,,,,,3,,2020-02-24 18:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20193
Lazio,,,,,,,3,,2020-02-24 18:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20194
Lombardia,,,,,,,167,,2020-02-24 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20195
Veneto,,,,,,,27,,2020-02-24 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20196
Emilia-Romagna,,,,,,,18,,2020-02-24 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20197
Piemonte,,,,,,,4,,2020-02-24 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20198
Lazio,,,,,,,3,,2020-02-24 12:00:00,http://www.protezionecivile.gov.it/web/guest/dettaglio/-/journal/rss/351561?doAsGroupId=20182&refererPlid=42041&controlPanelCategory=current_site.content&_15_groupId=20199
