somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_30-39,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,30-39
1,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_30-39,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,30-39
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_30-39,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,30-39
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_30-39,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,30-39
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_30-39,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,30-39
1,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_30-39,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,30-39
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_40-49,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,40-49
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_40-49,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,40-49
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_40-49,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,40-49
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_40-49,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,40-49
1,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_40-49,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,40-49
3,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_40-49,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,40-49
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_50-59,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,50-59
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_50-59,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,50-59
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_50-59,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,50-59
4,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_50-59,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,50-59
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_50-59,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,50-59
4,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_50-59,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,50-59
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_60-69,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,60-69
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_60-69,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,60-69
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_60-69,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,60-69
1,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_60-69,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,60-69
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_60-69,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,60-69
1,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_60-69,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,60-69
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_70-79,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,70-79
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_70-79,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,70-79
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_70-79,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,70-79
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_70-79,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,70-79
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_70-79,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,70-79
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_70-79,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,70-79
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_80-89,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,80-89
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_80-89,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,80-89
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_80-89,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,80-89
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_80-89,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,80-89
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_80-89,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,80-89
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_80-89,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,80-89
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_90+,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,90+
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_90+,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,90+
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_90+,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,90+
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_90+,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,90+
0,Molise,TML_CAT_ALTRO,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_90+,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,90+
0,Molise,TML_CAT_PERSONALE,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_90+,2 - Personale non Sanitario,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,90+
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_16-19,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,16-19
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_16-19,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,16-19
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_16-19,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,16-19
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_20-29,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,20-29
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_20-29,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,20-29
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_20-29,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,20-29
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_30-39,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,30-39
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_30-39,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,30-39
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_30-39,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,30-39
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_40-49,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,40-49
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_40-49,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,40-49
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_40-49,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,40-49
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_50-59,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,50-59
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_50-59,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,50-59
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_50-59,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,50-59
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_60-69,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,60-69
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_60-69,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,60-69
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_60-69,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,60-69
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_70-79,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,70-79
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_70-79,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,70-79
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_70-79,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,70-79
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_80-89,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,80-89
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_80-89,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,80-89
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_80-89,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,80-89
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_90+,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,90+
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_90+,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,90+
0,Molise,TML_CAT_RSA_OSPITI,04/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_90+,3 - Ospiti Strutture Residenziali,14,2021-01-04,PF/BT,14000301_P.O.ISERNIA,90+
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_16-19,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,16-19
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_16-19,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,16-19
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_16-19,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,16-19
11,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_20-29,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,20-29
6,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_20-29,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,20-29
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_20-29,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,20-29
32,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_30-39,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,30-39
21,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_30-39,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,30-39
4,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_30-39,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,30-39
47,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_40-49,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,40-49
41,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_40-49,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,40-49
16,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_40-49,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,40-49
58,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_50-59,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,50-59
69,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_50-59,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,50-59
34,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_50-59,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,50-59
38,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_60-69,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,60-69
34,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_60-69,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,60-69
28,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_60-69,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,60-69
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_70-79,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,70-79
1,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_70-79,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,70-79
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_70-79,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,70-79
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_80-89,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,80-89
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_80-89,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,80-89
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_80-89,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,80-89
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_90+,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,90+
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_90+,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,90+
0,Molise,TML_CAT_OSS,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_90+,1 - Operatori Sanitari e Sociosanitari,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,90+
0,Molise,TML_CAT_ALTRO,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_16-19,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,16-19
0,Molise,TML_CAT_PERSONALE,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_16-19,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,16-19
0,Molise,TML_CAT_ALTRO,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_16-19,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,16-19
0,Molise,TML_CAT_PERSONALE,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_16-19,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,16-19
0,Molise,TML_CAT_ALTRO,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_16-19,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,16-19
0,Molise,TML_CAT_PERSONALE,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_16-19,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,16-19
0,Molise,TML_CAT_ALTRO,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_20-29,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,20-29
0,Molise,TML_CAT_PERSONALE,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_20-29,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,20-29
0,Molise,TML_CAT_ALTRO,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_20-29,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,20-29
0,Molise,TML_CAT_PERSONALE,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_20-29,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,20-29
0,Molise,TML_CAT_ALTRO,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_20-29,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,20-29
0,Molise,TML_CAT_PERSONALE,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_20-29,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,20-29
0,Molise,TML_CAT_ALTRO,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_30-39,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,30-39
0,Molise,TML_CAT_PERSONALE,05/01/2021_PF/BT_MOL_14000100_P.O. A.CARDARELLI-CAMPOBASSO_30-39,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000100_P.O. A.CARDARELLI-CAMPOBASSO,30-39
0,Molise,TML_CAT_ALTRO,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_30-39,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,30-39
0,Molise,TML_CAT_PERSONALE,05/01/2021_PF/BT_MOL_14000200_P.O. SAN TIMOTEO - TERMOLI_30-39,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000200_P.O. SAN TIMOTEO - TERMOLI,30-39
0,Molise,TML_CAT_ALTRO,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_30-39,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,30-39
0,Molise,TML_CAT_PERSONALE,05/01/2021_PF/BT_MOL_14000301_P.O.ISERNIA_30-39,2 - Personale non Sanitario,14,2021-01-05,PF/BT,14000301_P.O.ISERNIA,30-39
