somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta,siglaRegione
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_20-29,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,20-29,PIE
3,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010008 01_OSPEDALE CARDINAL MASSAIA ASTI_30-39,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010008 01_OSPEDALE CARDINAL MASSAIA ASTI,30-39,PIE
3,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010017 00_OSPEDALE DI CHIVASSO_30-39,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010017 00_OSPEDALE DI CHIVASSO,30-39,PIE
2,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010026 04_AMB. VACCINAZIONI P.O. NOVI L_30-39,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 04_AMB. VACCINAZIONI P.O. NOVI L,30-39,PIE
4,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010026 05_AMB. VACCINAZIONI P.O. ACQUI T_30-39,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 05_AMB. VACCINAZIONI P.O. ACQUI T,30-39,PIE
2,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010079 01_OSPEDALE DEGLI INFERMI RIVOLI_30-39,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010079 01_OSPEDALE DEGLI INFERMI RIVOLI,30-39,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_30-39,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,30-39,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010906_CENTRO VACCINALE S. CROCE CN_30-39,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010906_CENTRO VACCINALE S. CROCE CN,30-39,PIE
2,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_30-39,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,30-39,PIE
8,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_30-39,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,30-39,PIE
8,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_30-39,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,30-39,PIE
2,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_670507_CASA DI RIPOSO ARONA_30-39,2 - Personale non Sanitario,01,2021-01-02,PF/BT,670507_CASA DI RIPOSO ARONA,30-39,PIE
4,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010008 01_OSPEDALE CARDINAL MASSAIA ASTI_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010008 01_OSPEDALE CARDINAL MASSAIA ASTI,40-49,PIE
3,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010017 00_OSPEDALE DI CHIVASSO_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010017 00_OSPEDALE DI CHIVASSO,40-49,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010019 01_OSPEDALE DI CIRIE'_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010019 01_OSPEDALE DI CIRIE',40-49,PIE
8,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010026 03_AMB. VACCINAZIONI P.O. TORTONA_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 03_AMB. VACCINAZIONI P.O. TORTONA,40-49,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010026 04_AMB. VACCINAZIONI P.O. NOVI L_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 04_AMB. VACCINAZIONI P.O. NOVI L,40-49,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010026 05_AMB. VACCINAZIONI P.O. ACQUI T_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 05_AMB. VACCINAZIONI P.O. ACQUI T,40-49,PIE
10,Piemonte,TML_CAT_ALTRO,02/01/2021_PF/BT_PIE_010026 06_AMB. VACCINAZIONI P.O. OVADA_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 06_AMB. VACCINAZIONI P.O. OVADA,40-49,PIE
2,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010030 01_OSPEDALE AGNELLI PINEROLO_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010030 01_OSPEDALE AGNELLI PINEROLO,40-49,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010032_PRESIDIO OSPEDALIERO PONDERANO_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010032_PRESIDIO OSPEDALIERO PONDERANO,40-49,PIE
2,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010079 01_OSPEDALE DEGLI INFERMI RIVOLI_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010079 01_OSPEDALE DEGLI INFERMI RIVOLI,40-49,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010206_BORGOSESIA_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010206_BORGOSESIA,40-49,PIE
2,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,40-49,PIE
3,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010906_CENTRO VACCINALE S. CROCE CN_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010906_CENTRO VACCINALE S. CROCE CN,40-49,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,40-49,PIE
10,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,40-49,PIE
13,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,40-49,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_600123_CLINICA SALUS ALESSANDRIA_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,600123_CLINICA SALUS ALESSANDRIA,40-49,PIE
3,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_670507_CASA DI RIPOSO ARONA_40-49,2 - Personale non Sanitario,01,2021-01-02,PF/BT,670507_CASA DI RIPOSO ARONA,40-49,PIE
5,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010003_OSPEDALE MARIA VITTORIA TORINO_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010003_OSPEDALE MARIA VITTORIA TORINO,50-59,PIE
3,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010004_OSP. SANTA CROCE MONCALIERI_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010004_OSP. SANTA CROCE MONCALIERI,50-59,PIE
2,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010007_OSPEDALE MARTINI TORINO_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010007_OSPEDALE MARTINI TORINO,50-59,PIE
15,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010008 01_OSPEDALE CARDINAL MASSAIA ASTI_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010008 01_OSPEDALE CARDINAL MASSAIA ASTI,50-59,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010017 00_OSPEDALE DI CHIVASSO_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010017 00_OSPEDALE DI CHIVASSO,50-59,PIE
7,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010026 03_AMB. VACCINAZIONI P.O. TORTONA_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 03_AMB. VACCINAZIONI P.O. TORTONA,50-59,PIE
20,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010026 04_AMB. VACCINAZIONI P.O. NOVI L_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 04_AMB. VACCINAZIONI P.O. NOVI L,50-59,PIE
6,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010026 05_AMB. VACCINAZIONI P.O. ACQUI T_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 05_AMB. VACCINAZIONI P.O. ACQUI T,50-59,PIE
11,Piemonte,TML_CAT_ALTRO,02/01/2021_PF/BT_PIE_010026 06_AMB. VACCINAZIONI P.O. OVADA_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 06_AMB. VACCINAZIONI P.O. OVADA,50-59,PIE
14,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010030 01_OSPEDALE AGNELLI PINEROLO_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010030 01_OSPEDALE AGNELLI PINEROLO,50-59,PIE
10,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010032_PRESIDIO OSPEDALIERO PONDERANO_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010032_PRESIDIO OSPEDALIERO PONDERANO,50-59,PIE
9,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010079 01_OSPEDALE DEGLI INFERMI RIVOLI_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010079 01_OSPEDALE DEGLI INFERMI RIVOLI,50-59,PIE
3,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010206_BORGOSESIA_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010206_BORGOSESIA,50-59,PIE
9,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010206_VERCELLI_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010206_VERCELLI,50-59,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010666_CLINICA CITTA' DI ALESSANDRIA_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010666_CLINICA CITTA' DI ALESSANDRIA,50-59,PIE
11,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,50-59,PIE
4,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010906_CENTRO VACCINALE S. CROCE CN_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010906_CENTRO VACCINALE S. CROCE CN,50-59,PIE
4,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,50-59,PIE
7,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,50-59,PIE
14,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,50-59,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_600123_CLINICA SALUS ALESSANDRIA_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,600123_CLINICA SALUS ALESSANDRIA,50-59,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_670330_C.R. DIVINA PROVVIDENZA NOVARA_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,670330_C.R. DIVINA PROVVIDENZA NOVARA,50-59,PIE
5,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_670507_CASA DI RIPOSO ARONA_50-59,2 - Personale non Sanitario,01,2021-01-02,PF/BT,670507_CASA DI RIPOSO ARONA,50-59,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010003_OSPEDALE MARIA VITTORIA TORINO_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010003_OSPEDALE MARIA VITTORIA TORINO,60-69,PIE
10,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010008 01_OSPEDALE CARDINAL MASSAIA ASTI_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010008 01_OSPEDALE CARDINAL MASSAIA ASTI,60-69,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010026 01_AMB. VACCINAZIONI P.O CASALE M_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 01_AMB. VACCINAZIONI P.O CASALE M,60-69,PIE
6,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010026 03_AMB. VACCINAZIONI P.O. TORTONA_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 03_AMB. VACCINAZIONI P.O. TORTONA,60-69,PIE
10,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010026 04_AMB. VACCINAZIONI P.O. NOVI L_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 04_AMB. VACCINAZIONI P.O. NOVI L,60-69,PIE
17,Piemonte,TML_CAT_ALTRO,02/01/2021_PF/BT_PIE_010026 06_AMB. VACCINAZIONI P.O. OVADA_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 06_AMB. VACCINAZIONI P.O. OVADA,60-69,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010030 01_OSPEDALE AGNELLI PINEROLO_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010030 01_OSPEDALE AGNELLI PINEROLO,60-69,PIE
3,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010032_PRESIDIO OSPEDALIERO PONDERANO_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010032_PRESIDIO OSPEDALIERO PONDERANO,60-69,PIE
7,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010079 01_OSPEDALE DEGLI INFERMI RIVOLI_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010079 01_OSPEDALE DEGLI INFERMI RIVOLI,60-69,PIE
4,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010206_VERCELLI_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010206_VERCELLI,60-69,PIE
5,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,60-69,PIE
2,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010906_CENTRO VACCINALE S. CROCE CN_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010906_CENTRO VACCINALE S. CROCE CN,60-69,PIE
3,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,60-69,PIE
7,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,60-69,PIE
5,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,60-69,PIE
3,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_670507_CASA DI RIPOSO ARONA_60-69,2 - Personale non Sanitario,01,2021-01-02,PF/BT,670507_CASA DI RIPOSO ARONA,60-69,PIE
10,Piemonte,TML_CAT_ALTRO,02/01/2021_PF/BT_PIE_010026 06_AMB. VACCINAZIONI P.O. OVADA_70-79,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 06_AMB. VACCINAZIONI P.O. OVADA,70-79,PIE
1,Piemonte,TML_CAT_PERSONALE,02/01/2021_PF/BT_PIE_670507_CASA DI RIPOSO ARONA_70-79,2 - Personale non Sanitario,01,2021-01-02,PF/BT,670507_CASA DI RIPOSO ARONA,70-79,PIE
3,Piemonte,TML_CAT_ALTRO,02/01/2021_PF/BT_PIE_010026 06_AMB. VACCINAZIONI P.O. OVADA_80-89,2 - Personale non Sanitario,01,2021-01-02,PF/BT,010026 06_AMB. VACCINAZIONI P.O. OVADA,80-89,PIE
1,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_670330_C.R. DIVINA PROVVIDENZA NOVARA_60-69,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,670330_C.R. DIVINA PROVVIDENZA NOVARA,60-69,PIE
1,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_57002501_FONDAZIONE RIPPA PERACCA_70-79,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,57002501_FONDAZIONE RIPPA PERACCA,70-79,PIE
4,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_670330_C.R. DIVINA PROVVIDENZA NOVARA_70-79,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,670330_C.R. DIVINA PROVVIDENZA NOVARA,70-79,PIE
2,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_670507_CASA DI RIPOSO ARONA_70-79,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,670507_CASA DI RIPOSO ARONA,70-79,PIE
9,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_57002501_FONDAZIONE RIPPA PERACCA_80-89,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,57002501_FONDAZIONE RIPPA PERACCA,80-89,PIE
4,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_670330_C.R. DIVINA PROVVIDENZA NOVARA_80-89,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,670330_C.R. DIVINA PROVVIDENZA NOVARA,80-89,PIE
10,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_670507_CASA DI RIPOSO ARONA_80-89,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,670507_CASA DI RIPOSO ARONA,80-89,PIE
2,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_7062701_RSA FOGLIZZO_80-89,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,7062701_RSA FOGLIZZO,80-89,PIE
4,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_57002501_FONDAZIONE RIPPA PERACCA_90+,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,57002501_FONDAZIONE RIPPA PERACCA,90+,PIE
6,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_670330_C.R. DIVINA PROVVIDENZA NOVARA_90+,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,670330_C.R. DIVINA PROVVIDENZA NOVARA,90+,PIE
8,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_670507_CASA DI RIPOSO ARONA_90+,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,670507_CASA DI RIPOSO ARONA,90+,PIE
1,Piemonte,TML_CAT_RSA_OSPITI,02/01/2021_PF/BT_PIE_7062701_RSA FOGLIZZO_90+,3 - Ospiti Strutture Residenziali,01,2021-01-02,PF/BT,7062701_RSA FOGLIZZO,90+,PIE
1,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_000256_P.V.O. DI VERBANIA ASL VCO_16-19,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,000256_P.V.O. DI VERBANIA ASL VCO,16-19,PIE
64,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_000256_P.V.O. DI VERBANIA ASL VCO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,000256_P.V.O. DI VERBANIA ASL VCO,20-29,PIE
38,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_000258_P.V.O. DI DOMODOSSOLA ASL VCO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,000258_P.V.O. DI DOMODOSSOLA ASL VCO,20-29,PIE
2,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_000574_OSP. SAN LORENZO CARMAGNOLA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,000574_OSP. SAN LORENZO CARMAGNOLA,20-29,PIE
8,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010003_OSPEDALE MARIA VITTORIA TORINO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010003_OSPEDALE MARIA VITTORIA TORINO,20-29,PIE
9,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010007_OSPEDALE MARTINI TORINO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010007_OSPEDALE MARTINI TORINO,20-29,PIE
4,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010011_CENTRO VACC S G BOSCO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010011_CENTRO VACC S G BOSCO,20-29,PIE
17,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010017 00_OSPEDALE DI CHIVASSO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010017 00_OSPEDALE DI CHIVASSO,20-29,PIE
7,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010019 01_OSPEDALE DI CIRIE'_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010019 01_OSPEDALE DI CIRIE',20-29,PIE
11,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010023_OSPEDALE DI IVREA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010023_OSPEDALE DI IVREA,20-29,PIE
17,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010026 01_AMB. VACCINAZIONI P.O CASALE M_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010026 01_AMB. VACCINAZIONI P.O CASALE M,20-29,PIE
1,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010026 03_AMB. VACCINAZIONI P.O. TORTONA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010026 03_AMB. VACCINAZIONI P.O. TORTONA,20-29,PIE
9,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010026 04_AMB. VACCINAZIONI P.O. NOVI L_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010026 04_AMB. VACCINAZIONI P.O. NOVI L,20-29,PIE
8,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010026 05_AMB. VACCINAZIONI P.O. ACQUI T_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010026 05_AMB. VACCINAZIONI P.O. ACQUI T,20-29,PIE
1,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010026 06_AMB. VACCINAZIONI P.O. OVADA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010026 06_AMB. VACCINAZIONI P.O. OVADA,20-29,PIE
7,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010124 01_OSPEDALE DI MONDOVI'_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010124 01_OSPEDALE DI MONDOVI',20-29,PIE
7,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010126 01_OSPEDALE DI SAVIGLIANO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010126 01_OSPEDALE DI SAVIGLIANO,20-29,PIE
10,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010206_BORGOSESIA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010206_BORGOSESIA,20-29,PIE
11,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010206_VERCELLI_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010206_VERCELLI,20-29,PIE
15,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010906_CENTRO VACCINALE S. CROCE CN_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010906_CENTRO VACCINALE S. CROCE CN,20-29,PIE
16,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,20-29,PIE
79,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,20-29,PIE
3,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_50010901_CLINICA EPOREDIESE_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,50010901_CLINICA EPOREDIESE,20-29,PIE
2,Piemonte,TML_CAT_OSS,03/01/2021_PF/BT_PIE_570115_IST. CURA BAUER RSA POGNO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2021-01-03,PF/BT,570115_IST. CURA BAUER RSA POGNO,20-29,PIE
